id,title,rating,reviews,typeLocation,link
d2255351,Đồi Bà Nà,4.1,7079,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d2255351-Reviews-Sun_World_Ba_Na_Hills-Da_Nang.html
d7021088,SKY36,4.1,687,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d7021088-Reviews-SKY36-Da_Nang.html
d2724207,Madame Lân,3.9,2137,Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d2724207-Reviews-Madame_Lan-Da_Nang.html
d17546936,Panda Spa & Massage In Danang City,5.0,772,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d17546936-Reviews-Panda_Spa_Massage_In_Danang_City-Da_Nang.html
d13140547,Fivitel Da Nang Hotel,4.8,885,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d13140547-Reviews-Fivitel_Da_Nang_Hotel-Da_Nang.html?
d13084698,Silk Spa Da Nang,4.8,821,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d13084698-Reviews-Silk_Spa_Da_Nang-Da_Nang.html
d17760929,Bếp Cuốn Đà Nẵng,4.8,594,Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d17760929-Reviews-B_p_Cu_n_Da_N_ng-Da_Nang.html
d9853219,Khách sạn Grand Tourane,4.8,849,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d9853219-Reviews-Grand_Tourane_Hotel-Da_Nang.html?
d9702684,Hadana Boutique Hotel,4.9,2118,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d9702684-Reviews-Hadana_Boutique_Hotel-Da_Nang.html?
d13008083,San Marino Boutique Danang,4.9,840,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d13008083-Reviews-San_Marino_Boutique_Danang-Da_Nang.html?
d15225205,Grand Sunrise Boutique Hotel,4.9,569,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d15225205-Reviews-Grand_Sunrise_Boutique_Hotel-Da_Nang.html?
d14794498,Ruby Light Hotel by NNT Hotel Collection,4.8,207,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d14794498-Reviews-Ruby_Light_Hotel_by_NNT_Hotel_Collection-Da_Nang.html?
d15142242,Eden Hotel Danang,4.7,327,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d15142242-Reviews-Eden_Hotel_Danang-Da_Nang.html?
d9570796,Ana Maison Boutique Hotel,4.4,298,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d9570796-Reviews-Ana_Maison_Boutique_Hotel-Da_Nang.html?
d27935364,M Hotel Danang,4.8,468,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d27935364-Reviews-M_Hotel_Danang-Da_Nang.html?
d19453440,Mường Thanh Luxury Sông Hàn Hotel,4.9,284,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d19453440-Reviews-Mu_ng_Thanh_Luxury_Song_Han_Hotel-Da_Nang.html?
d13297744,Nhu Minh Plaza Danang Hotel,5.0,1173,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d13297744-Reviews-Nhu_Minh_Plaza_Danang_Hotel-Da_Nang.html?
d12645634,Parosand Danang Hotel (Belle Maison Parosand Danang),4.9,4835,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d12645634-Reviews-Parosand_Danang_Hotel_Belle_Maison_Parosand_Danang-Da_Nang.html?
d14991251,Cầu Vàng,4.0,865,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d14991251-Reviews-Golden_Bridge-Da_Nang.html
d12919657,Hilton Da Nang,4.9,2796,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d12919657-Reviews-Hilton_Da_Nang-Da_Nang.html?
d26723722,Van May Restaurant,5.0,343,Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d26723722-Reviews-Van_May_Restaurant-Da_Nang.html
d30051760,Nhà Hàng Làn Gió,4.9,269,Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d30051760-Reviews-Nha_Hang_Lan_Gio-Da_Nang.html
d4346231,Eden Plaza Đà Nẵng Hotel,4.1,257,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d4346231-Reviews-Eden_Plaza_Da_Nang_Hotel-Da_Nang.html?
d13188737,Satya Da Nang Hotel,4.8,540,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d13188737-Reviews-Satya_Da_Nang_Hotel-Da_Nang.html?
d8544487,Avatar Hotel Da Nang,4.7,1062,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d8544487-Reviews-Avatar_Hotel_Da_Nang-Da_Nang.html?
d20063843,HAIAN Riverfront Hotel Danang,4.9,1670,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d20063843-Reviews-HAIAN_Riverfront_Hotel_Danang-Da_Nang.html?
