id,title,rating,reviews,typeLocation,link
d12273530,Nhà Thờ Chính Tòa Đà Nẵng,3.7,885.0,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d12273530-Reviews-Da_Nang_Catheral-Da_Nang.html
d7403837,Khách sạn Sofia Boutique Đà Nẵng,4.7,1001.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d7403837-Reviews-Sofia_Boutique_Hotel_Da_Nang-Da_Nang.html?
d17695824,Ocean View Hotel Da Nang,4.6,38.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d17695824-Reviews-Ocean_View_Hotel_Da_Nang-Da_Nang.html?
d15588293,Du lịch Đà Nẵng Xanh,4.8,94.0,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d15588293-Reviews-Danang_Green_Travel-Da_Nang.html
d12536704,Continent Hotel Da Nang,4.4,49.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d12536704-Reviews-Continent_Hotel_Da_Nang-Da_Nang.html?
d14058690,Balcona Hotel Da Nang,4.9,2017.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d14058690-Reviews-Balcona_Hotel_Da_Nang-Da_Nang.html?
d15327970,Rosamia Da Nang Hotel,4.9,264.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d15327970-Reviews-Rosamia_Da_Nang_Hotel-Da_Nang.html?
d2151597,Grand Mercure Danang,4.8,3259.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d2151597-Reviews-Grand_Mercure_Danang-Da_Nang.html?
d13326393,Sheraton Grand Danang Beach Resort & Spa,4.8,1653.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d13326393-Reviews-Sheraton_Grand_Danang_Beach_Resort_Spa-Da_Nang.html?
d6609499,Melia Danang Beach Resort,4.6,2078.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d6609499-Reviews-Melia_Danang_Beach_Resort-Da_Nang.html?
d8262778,Queen Spa,4.7,690.0,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d8262778-Reviews-Queen_Spa-Da_Nang.html
d32989185,Buzz Bbq&beer,5.0,143.0,Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d32989185-Reviews-Buzz_Bbq_beer-Da_Nang.html
d9874032,Serene Beach Hotel Danang,5.0,1188.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d9874032-Reviews-Serene_Beach_Hotel_Danang-Da_Nang.html?
d8462721,Khách sạn Le House,4.3,140.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d8462721-Reviews-Le_House_Boutique_Hotel-Da_Nang.html?
d7787334,Khách sạn Green House,4.5,279.0,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d7787334-Reviews-Green_House_Hotel-Da_Nang.html?
